bar,mx,my,mz,ax,ay,az,p,q,r
97366.742188,-0.542243,0.433413,0.719809,-0.573008,9.592052,-2.002835,-0.117982,0.042079,-0.008789
97363.492188,-0.544559,0.446423,0.710044,-0.610730,9.730365,-1.846560,-0.192286,0.062054,-0.014382
97366.960938,-0.550195,0.443267,0.707672,-0.623304,9.432185,-1.059796,0.011452,-0.036753,-0.012517
97373.171875,-0.548613,0.458804,0.698944,-0.634081,9.442963,-1.257385,-0.139554,0.005326,-0.007191
97383.789062,-0.564766,0.443184,0.696152,-0.770598,9.755513,-1.499881,0.005326,-0.033823,-0.031160
97375.320312,-0.562169,0.450927,0.693275,-0.806523,9.284891,-0.736468,-0.053797,-0.029296,-0.015447
97370.750000,-0.561311,0.449845,0.694672,-0.786764,9.432185,-0.567620,-0.129966,0.015979,0.027165
97362.007812,-0.564639,0.453692,0.689454,-0.644859,9.804012,-0.833467,0.013316,0.050069,-0.024768
97368.375000,-0.559636,0.459701,0.689552,-0.641266,9.419611,-0.321531,0.029562,0.003729,-0.032492
97373.023438,-0.567662,0.461725,0.681594,-0.864003,9.735754,-0.889151,-0.024236,-0.002663,-0.024768
97376.023438,-0.557772,0.460854,0.690292,-0.989742,9.502239,-0.723895,0.059390,-0.033291,0.002930
97365.429688,-0.554678,0.459250,0.693845,-0.765209,9.398056,-0.747246,0.073505,-0.027964,-0.007990
97380.625000,-0.547976,0.456647,0.700854,-0.921484,9.561516,-0.864003,0.203205,-0.066581,-0.015447
97368.921875,-0.538003,0.443754,0.716683,-1.063389,9.200467,-1.313069,0.094545,-0.018376,-0.001332
97361.648438,-0.533263,0.436657,0.724542,-0.790356,9.834548,-1.683100,0.218120,-0.059923,-0.002397
97377.562500,-0.528856,0.425008,0.734629,-1.083148,9.207652,-2.036964,0.098540,-0.006658,-0.006125
97367.320312,-0.507748,0.421562,0.751317,-0.736468,9.462722,-2.315385,0.274314,-0.083359,0.019442
97373.906250,-0.508795,0.389403,0.767785,-1.011297,9.335187,-2.920726,0.314529,-0.079631,0.031693
97371.515625,-0.507430,0.388247,0.769271,-0.553249,9.248966,-3.177592,0.048471,0.009854,0.010919
97367.929688,-0.503887,0.368917,0.781024,-1.102906,8.975934,-3.917653,0.223180,-0.038084,0.027165
97369.218750,-0.489528,0.351183,0.798143,-0.779579,9.026229,-4.190685,0.263128,-0.047139,-0.021040
97372.492188,-0.480060,0.338145,0.809445,-0.872985,8.537645,-4.386478,0.258601,-0.006125,-0.037285
97366.500000,-0.469574,0.322832,0.821754,-1.083148,8.487350,-5.200186,0.304142,-0.010919,-0.067114
97367.382812,-0.461551,0.291237,0.837945,-1.169368,8.137078,-5.816305,0.310800,-0.065516,-0.021839
97367.382812,-0.446633,0.275367,0.851288,-1.160387,7.459887,-5.762417,0.426918,-0.063119,-0.015180
97367.445312,-0.436090,0.252037,0.863889,-1.408271,6.915618,-6.649771,0.210396,-0.043943,-0.009321
97369.015625,-0.429589,0.227139,0.873991,-1.390309,6.592291,-6.674919,0.360869,-0.042079,-0.045541
97361.664062,-0.419282,0.207213,0.883892,-1.729803,5.658233,-7.262298,0.238893,0.006392,0.014648
97375.664062,-0.414108,0.173607,0.893518,-1.569935,5.289999,-7.756270,0.448756,0.019175,-0.017045
97374.500000,-0.402064,0.138751,0.905038,-1.702859,4.345164,-8.552015,0.278042,0.009588,0.048737
97379.843750,-0.396656,0.100340,0.912467,-1.553769,4.346960,-9.229207,0.217054,0.038351,0.059657
97367.023438,-0.397198,0.065165,0.915417,-1.345402,3.964356,-9.067543,0.326780,-0.010120,-0.004261
97370.390625,-0.395784,0.051956,0.916873,-1.607657,2.502197,-9.054970,0.311067,-0.040481,0.064983
97370.429688,-0.401994,0.024738,0.915308,-1.243015,2.732118,-9.159153,0.292957,0.041813,0.038351
97370.367188,-0.402115,0.003093,0.915584,-1.059796,2.227368,-9.062155,0.198678,0.039682,0.078299
97366.171875,-0.408834,0.003062,0.912604,-1.366957,1.975891,-9.356742,0.081495,0.044210,0.107329
97376.359375,-0.417253,-0.013908,0.908684,-0.885558,1.846560,-9.577682,0.182965,0.088952,0.072174
97367.148438,-0.421835,-0.031980,0.906108,-0.917891,1.435215,-9.816586,0.175508,0.071908,0.100671
97376.421875,-0.429714,-0.039619,0.902095,-0.738265,0.939446,-9.769883,0.126504,0.081229,0.023437
97373.085938,-0.430550,-0.056491,0.900797,-0.605341,0.795745,-9.892029,0.157930,0.035421,0.006125
97377.789062,-0.441071,-0.074784,0.894351,-0.599952,0.425715,-9.791438,0.139288,0.023437,0.012517
97374.960938,-0.435219,-0.083990,0.896398,-0.316143,0.086221,-9.798623,0.140353,0.013849,0.033557
97373.882812,-0.444033,-0.093400,0.891129,-0.648452,0.005389,-9.486073,0.116117,0.093213,0.059923
97369.632812,-0.441896,-0.100569,0.891411,-0.820893,-0.001796,-9.795031,0.099872,-0.047139,-0.009055
97373.304688,-0.436811,-0.117193,0.891887,-0.206570,-0.161664,-9.689051,0.046340,-0.032758,-0.003196
97368.921875,-0.439273,-0.116323,0.890791,-1.348995,-0.644859,-9.769883,0.057260,-0.028230,0.072973
97386.570312,-0.435125,-0.125194,0.891624,-0.705932,-0.344883,-9.771679,-0.019175,-0.001864,0.214391
97368.992188,-0.438273,-0.123694,0.890290,-0.529898,-0.185015,-9.805808,-0.008256,0.011186,0.176573
97372.101562,-0.441027,-0.129266,0.888136,-0.493973,-0.256866,-9.834548,0.004794,0.004261,0.162990
97372.101562,-0.433342,-0.135324,0.891012,-0.540676,-0.170645,-9.816586,0.005326,0.002930,0.096143
97372.398438,-0.441981,-0.133515,0.887032,-0.502954,-0.220941,-9.809401,-0.005326,0.002131,-0.001332
97368.039062,-0.443893,-0.132256,0.886266,-0.472418,-0.258662,-9.814790,-0.002930,-0.001332,-0.004261
97375.640625,-0.445201,-0.130673,0.885844,-0.488584,-0.256866,-9.812993,-0.002131,0.000533,-0.003995
97372.710938,-0.438444,-0.130764,0.889195,-0.468825,-0.260458,-9.812993,-0.005593,-0.002930,-0.000533
97374.507812,-0.443868,-0.132703,0.886211,-0.484991,-0.255070,-9.809401,-0.002131,-0.002930,-0.002131
97369.632812,-0.437890,-0.130142,0.889559,-0.476010,-0.256866,-9.834548,-0.001864,0.002930,-0.003196
97376.257812,-0.435071,-0.125619,0.891590,-0.495769,-0.267643,-9.834548,-0.004261,-0.003729,0.000266
97375.000000,-0.439935,-0.126787,0.889035,-0.490380,-0.251477,-9.812993,-0.001864,-0.004261,0.000266
97374.406250,-0.440396,-0.129528,0.888411,-0.486788,-0.242496,-9.827363,-0.005060,-0.001065,0.000000
97370.046875,-0.437352,-0.139710,0.888372,-0.488584,-0.255070,-9.832752,-0.002131,-0.001332,-0.000266
97363.015625,-0.442430,-0.136365,0.886375,-0.472418,-0.260458,-9.904603,0.001332,-0.005326,-0.003196
97375.718750,-0.443130,-0.124441,0.887778,-0.470621,-0.265847,-9.830956,-0.008256,-0.004528,0.000533
97381.843750,-0.442013,-0.133063,0.887085,-0.486788,-0.247885,-9.812993,-0.004261,-0.000266,-0.001065
97370.789062,-0.442278,-0.128551,0.887617,-0.107776,-0.784968,-9.852511,-0.000799,0.005060,0.124906
97377.234375,-0.441890,-0.135022,0.886849,-0.470621,-0.233514,-9.771679,0.007990,0.010387,0.132363
97367.054688,-0.444243,-0.136457,0.885453,-0.626896,0.057480,-9.733957,-0.005859,0.014914,-0.003729
97369.335938,-0.441089,-0.147542,0.885252,-0.413141,-0.274828,-9.821975,-0.022904,-0.005593,0.001864
97372.992188,-0.440727,-0.134200,0.887553,-0.432900,-0.253273,-9.814790,0.005326,0.004261,0.002930
97375.062500,-0.438579,-0.139617,0.887781,-0.427511,-0.082628,-9.800420,0.025567,0.009588,0.043943
97377.265625,-0.435882,-0.143262,0.888529,-0.477806,-0.188608,-9.825567,0.031959,-0.011718,0.010653
97370.414062,-0.435882,-0.152406,0.887006,-0.441881,-0.418530,-9.893826,0.218120,-0.073239,-0.001332
97362.484375,-0.431733,-0.166876,0.886431,-1.088536,-1.205294,-10.262059,0.069511,-0.183231,-0.028497
97374.570312,-0.414894,-0.181998,0.891482,-1.555565,-1.808838,-9.845326,0.349950,-0.260731,0.010120
97375.320312,-0.400681,-0.208046,0.892285,-1.255589,-2.101629,-9.493258,0.244219,-0.211195,0.012784
97382.242188,-0.375689,-0.229078,0.897987,-1.966910,-2.726730,-9.310040,0.303610,-0.223712,-0.013050
97361.070312,-0.364381,-0.241383,0.899422,-2.385439,-2.275867,-9.328002,0.218652,-0.260465,-0.091349
97372.132812,-0.351762,-0.269269,0.896526,-2.879412,-4.066743,-8.728049,0.421059,-0.230104,-0.101470
97369.515625,-0.331962,-0.294024,0.896298,-2.987188,-4.151167,-8.316705,0.338764,-0.195748,-0.037552
97371.804688,-0.324905,-0.312287,0.892700,-3.448828,-4.587660,-8.158633,0.261530,-0.152071,-0.266857
97360.625000,-0.323736,-0.333258,0.885513,-2.883005,-5.399571,-7.828121,0.302811,-0.139820,-0.089219
97376.320312,-0.326543,-0.353490,0.876593,-3.195555,-5.397775,-7.555089,0.234365,-0.095344,-0.122243
97378.007812,-0.322601,-0.378222,0.867685,-2.888393,-6.001320,-7.125782,0.270053,-0.066048,-0.094012
97377.937500,-0.327934,-0.395782,0.857797,-3.213517,-6.010301,-6.881489,0.245551,-0.094279,0.015713
97374.437500,-0.330419,-0.419502,0.845483,-3.064427,-7.258705,-6.658753,0.243154,-0.071641,-0.100138
97367.507812,-0.327397,-0.434900,0.838852,-3.757786,-7.177873,-5.692362,0.310268,-0.121178,-0.009588
97366.804688,-0.335054,-0.450023,0.827779,-3.184777,-7.213799,-5.370831,0.225044,-0.017844,-0.115052
97371.578125,-0.336086,-0.478468,0.811243,-1.925596,-7.546107,-5.514532,0.118514,-0.069244,-0.135825
97373.585938,-0.345146,-0.496673,0.796361,-3.206332,-8.343649,-5.201982,0.225843,-0.120379,-0.069511
97372.781250,-0.354561,-0.505796,0.786420,-2.960244,-8.580756,-5.034930,0.128635,0.034888,0.052466
97370.750000,-0.359876,-0.517535,0.776303,-3.497327,-8.508905,-4.517605,0.223979,-0.115318,-0.077234
97364.585938,-0.358177,-0.531267,0.767766,-3.114723,-8.539442,-3.579955,0.243420,-0.052200,-0.111856
97367.039062,-0.380471,-0.551855,0.742090,-2.588417,-8.395741,-3.249443,0.250345,-0.014914,-0.178437
97356.796875,-0.388637,-0.561365,0.730637,-2.232757,-9.239985,-3.249443,0.181100,-0.039682,-0.144880
97365.851562,-0.405050,-0.576417,0.709703,-2.383643,-9.561516,-2.760859,0.320388,-0.002397,-0.187226
97367.382812,-0.422333,-0.575429,0.700369,-1.932781,-9.211245,-2.417772,0.157398,0.000533,-0.098806
97369.218750,-0.429244,-0.588224,0.685378,-2.166295,-9.432185,-1.799857,0.163789,-0.025833,-0.038084
97361.921875,-0.438339,-0.595143,0.673545,-1.979483,-9.495054,-1.647175,0.170714,0.000533,-0.034622
97353.179688,-0.450958,-0.605470,0.655776,-1.465752,-9.996212,-1.264570,0.204271,-0.100937,-0.112389
97358.039062,-0.456090,-0.608120,0.649747,-1.429827,-9.782456,-1.151406,0.095877,-0.006658,-0.075902
97362.812500,-0.468559,-0.607121,0.641761,-1.323847,-9.854307,-0.903521,0.111590,-0.060988,-0.071375
97369.632812,-0.487880,-0.608932,0.625440,-1.465752,-9.877659,-0.368234,0.096409,0.017577,-0.040748
97370.687500,-0.482524,-0.623029,0.615634,-0.977168,-9.760901,-0.061073,0.177372,-0.054863,-0.082827
97363.039062,-0.491791,-0.620327,0.611013,-1.345402,-9.838140,0.145497,0.105731,0.009854,-0.050335
97362.851562,-0.501307,-0.620136,0.603426,-0.777783,-9.872270,0.008981,0.056461,0.035155,0.025034
97367.765625,-0.500739,-0.625923,0.597897,-0.752635,-9.974657,0.596360,0.123841,-0.035421,-0.067913
97360.531250,-0.517996,-0.620478,0.588802,-0.716710,-9.505832,0.666414,0.078299,0.006658,-0.013583
97372.429688,-0.514778,-0.625625,0.586171,-0.689766,-9.935140,1.031056,0.094545,-0.055129,-0.021572
97373.070312,-0.516885,-0.627378,0.582432,-0.980760,-10.197393,1.117277,0.064717,0.011452,0.026366
97373.859375,-0.518864,-0.633319,0.574184,-1.124462,-9.750124,0.725691,-0.006392,-0.001864,0.047406
97364.046875,-0.517046,-0.628381,0.581205,-0.982557,-9.852511,1.126258,0.029029,-0.009854,0.012251
97376.742188,-0.516007,-0.636409,0.573341,-0.716710,-10.060878,1.356180,0.096409,-0.021040,-0.016778
97362.414062,-0.528928,-0.629767,0.568883,-1.036445,-9.663903,1.128054,0.072973,0.007723,-0.025034
97368.265625,-0.522948,-0.638527,0.564632,-0.761616,-9.780661,1.381327,0.066847,-0.059657,-0.043145
97361.093750,-0.537950,-0.624099,0.566666,-0.919687,-9.389075,1.072370,0.028230,-0.019175,-0.050335
97362.617188,-0.536252,-0.630432,0.561239,-0.682581,-9.748327,1.153202,0.023170,-0.002131,-0.054596
